Complaint_Narrative,Product,Sector,Priority_Level,Urgency_Score
I order 3 item but I got only to item one item was missing in my order and I paid for 3 items and the delivery men was changed . will Zomato pay me for that one item or give me that item ??,Zomato Food Delivery,Food & Beverage,Medium,7.5
As company get bigger they don't respond properly I order my food and they cancelled food and also delay in refund process and supporting excecutive talked to rudely and said humara yaha esa he hota h karna h to order kro nahi to mat kro,Zomato Food Delivery,Food & Beverage,High,8.0
"There are some restaurants which are not sending parcels as per Zomato's OFFERS nor are they giving that much quantity, they are only looking at how much money the customer has sent to them, they are sending parcels according to that, neither are they looking at the full quantity of the product nor are they looking Half at it, they are only sending parcels after looking at the amount of money.",Zomato Food Delivery,Food & Beverage,Medium,6.5
Delivery time was 1 hr for 5 km worst service,Zomato Food Delivery,Food & Beverage,Medium,5.0
"Not Verified |  I have been a frequent flier in Air India being a government employee, took a sigh of relief when it got privatised, which meant that I no longer had the compulsion to fly the same. However, against my better judgement I booked a flight from Delhi - Madurai via Chennai on 18 Sep. Reached the airport about an hr and thirty mins early as I was already travelling from Jammu. But due to the overall rush at the entrance and que, reached the counter 55 MINS prior to departure, but to my horror I was refused a ticket as the ‘Wonderful Server of Air India’ didn’t take web checkin and I was supposedly too late for boarding. The same was the case with four more passengers on same flight and even on the request of so many passengers, no body triers to hear the problem or help. the Manager was rude to the hapless passengers.",AirIndia,Aviation,High,9.5
"✅ Trip Verified |  Hyderabad to Shirdi. First of all, we were put in the plane 20 minutes late, before waiting on the tarmac, in a hot plane, for well over an hour. Once we finally took off, the onboard service was okay. I didn't buy anything since I had ate at the airport however, so I cannot comment about the food. On my return flight back to Hyderabad, I was put on an older Dash-8, which meant smaller seats, no reclining, and harder everything. Before/after this flight, I flew on IndiGo's ATR-72 from Tirupati to Hyderabad, which was so much better. If you want a cheap flight in India, don't choose SpiceJet, choose IndiGo, or even Air Asia India. Sometimes, Air India will be the cheapest option, which is a total win for me on a domestic flight, but not so internationally. I am unfortunately flying SpiceJet's 737 later this month, I'm just hoping that the entertainment streaming will save my sanity.",SpiceJet,Aviation,Medium,6.5
"✅ Trip Verified |  A negative experience with Vistara. Indian staff in Mumbai the worst between all airlines which I used.  Our flight was from Frankfurt by Mumbai to Colombo (and return). In way to Mumbai connection was relatively short (3h) and Vistara staff informed us that I don’t need to go to immigration (stay in transit) and is not necessary start execution of my Visa promise (ETA) which was valid to day of arrive to Mumbai.  After 2 weeks when we returned immigration office didn’t allowed us to leave the airport (connection was long – above 24 hours and Vistara not secured transit hotel). When Vistara staff was called from Immigration to offer service for customers staff of Vistara wanted to send us again to transit are promised us to arrange transit hotel, to organize meal, water etc. But procedure which used was clever, every 100-200 meters they sent us to another person, and last one – before secure control promised that up stairs will wait another Vistara representative who will help us. Upstairs was duty free area without any Vistara office/ desk. Without also possibility to return. We were left in the lurch and we lost our hotel reservation in Mumbai without any Vistara help, without any compensation. If are any problems not expect help and support from staff. Our luggage didn’t arrive from Mumbai and we got it only thanks Lufthansa support after 10 days.",Vistara,Aviation,High,9.5
✅ Trip Verified |  One of the worst airlines. They delayed our flight by 3 hrs without informing the passengers. We had to wait for 2 hrs without any notice. The staff was rude and were arguing with the passengers instead of helping them. When questioned about departure they were avoiding to comment on it. The cabin crew were busy among themselves so no greetings to the passengers. Overall avoid the airline at all cost.,Go First,Aviation,High,8.0
app is better but dilivery very poor,Zomato Food Delivery,Food & Beverage,Medium,5.0
worst ... no support system no accountability for late delivery,Zomato Food Delivery,Food & Beverage,Medium,6.0
"Not Verified |  Horrible flight services. The flight was initially at 7:30 pm, it being an international flight everyone was here by 4pm to avoid the any discrepancies, only to the find out the flight has been delayed to 8:30 and slowly to 9:40 then 10:40 then 11:10. With that the gate number changed for 44 to 76, travelling with aged people it is so difficult to change gates. When given a certain time for a flight going abroad, the airline is supposed to take care on everything the passengers have planned. Other than a bit of food compensation the SpiceJet staff has not been helpful what do ever. They aren’t even admitting their mistake and saying the flight is delayed they are telling all the passengers that the system is wrong we have the right information. This is horrible service by the airline and they should really improve on following schedules.",SpiceJet,Aviation,High,8.5
"✅ Verified Review | Guwahati to Delhi with Vistara. Took a last minute flight so had to pay a lot but it wasn't a very good experience. The positives - decent ground staff, better than many airlines and leg space was better than regular low cost airline carriers. However, cabin staff couldn't speak proper English and forget smiling faces. Everything felt temporary. From the ground staff (outsourced) or the old leased planes. Food and beverages offered can extract a maximum value of 500INR on the ticket price. You could spend 500INR and get a much better meal in any of the other airline carriers. Their entire gameplay is premium but nothing spelt premium to me. At least in regular economy class. The flight was mid-afternoon and it became quite warm in the flight. Adding to the heat was the seats which were leather. We kept asking the flight attendants to reduce the temperature but to no avail. Basically, a really bad experience.",Vistara,Aviation,Low,3.0
"Local saree shop se expensive saree li, ghar aake dekha toh usme hole tha. Shopkeeper bol raha hai 'hamari galti nahi'. Loot liya!",Local Saree Shop Apparel,Retail,Medium,6.5
Not Verified |  Air India flight is delayed for 12 hrs. No one was responding about the expected time. They simply showing please wait. And the staff was very arrogant and not even responding for customer queries about the delay. Most of the people checked in to airport @ around 6AM and waited till evening 8PM. Flight started after 8PM. Worst behavior from the staff and no one available for most of the time at the air India service help desk for proper information about expected time,AirIndia,Aviation,High,9.0
"✅ Trip Verified | Worst experience in my life time. The flight was supposed to be a direct flight from Bangalore to Hyderabad at 6.50pm on 13th Nov 2021. Suddenly a text message on the morning of the 13th that the boarding time is at 03.10pm. It's the first shock, reached airport leaving all my day plans. Later the flight started around 4.00pm. One more shock on the plane is its via Kolhapur. In a very bad mood we reached Kolhapur at 5.40pm, its suppose to leave by 5.50pm, the Kolhapur staff were informed by the airline staff that they have to take off on or before 5.50pm. Again it got delayed and the flight was not started till 6.15pm. Suddenly an announcement that the flight can't take off due to bad weather when we can see the stars and the moon clearly. So many people had connecting flights to travel abroad. They have given back our luggage and not said anything. I waited till 8.30pm with no update, at least on next day timings. Then I left to catch a bus to Hyderabad, couldn't and had to come back to Bangalore. My return from Hyderabad is on 14th Nov 2021 at 08.15pm. I have planned for a day to attend my clients place. Everything has gone in vain. I never recommend Air India to anyone.",AirIndia,Aviation,High,10.0
"✅ Trip Verified |  The worst company ever. During the check-in the visa was confused with a visa issue. The issue could be managed. A the end we lost 1000 USD, 2 flights. The customer care make a fake story to avoid refund.",AirIndia,Aviation,High,9.5
"✅ Trip Verified |  Madurai to Chennai. Very worst service; I didn't get even a glass of water. All went well, but the service staff didn't bother me and they didn't reach me when I press the cabin assists button",SpiceJet,Aviation,Low,3.0
"Fabindia se kurta liya, color ran out in first wash. Pure khadi ke naam pe ghatiya maal. Paise barbaad!",Fabindia Kurta,Retail,Medium,5.5
"Not Verified | I requested to cancel my ticket and had to deal with very irresponsible and bad customer service and lost my money. Though I raised request to cancel my ticket before required time, they made excuses and closed my request without asking me and didn't bother refunding my money",AirIndia,Aviation,High,8.0
"Not Verified |  Never travel with Air India again. Firstly they cancelled the flight a day before and never even bothered to inform us. As we had already checked in they took our boarding pass and gave as a new one which stated a night flight. After such long wait and discussion back then they shifted us on the next day morning flight. Later when we were there they emphasised on RTPCR even after having double vaccination certificate and rude staff was so keen on making our experience worst stating don't keep the bag like this keep like that, as if we were the porters for her.",AirIndia,Aviation,High,9.0
"Not Verified | I have travelled almost more than 25 times on Air India Express flights, Air India flight staff don't know how to treat the customer. There was not any snacks, I was really disappointed, but unfortunately we don't have other options for who to travel to Mangalore, this is our bad luck.",Air India Express,Aviation,Low,3.5
it's good but no cash on delivery available if someone doesn't have online were he or she would pay 😐,Zomato Food Delivery,Food & Beverage,Low,2.0
"Internet banking login issue, account locked. No option to reset. Bakwas system!",Canara Bank Net Banking,Banking,High,9.0
"Zomato service worsten day by day.... when foods not delivered by the outlet, some time Zomato has not refunded the amount stating that evidence was not sufficient. hence cheated customer.",Zomato Food Delivery,Food & Beverage,High,8.5
"Online fund transfer kiya, amount cut gaya but beneficiary ko nahi mila. Status 'pending' show ho raha hai 24 ghante se.",IndusInd Bank Fund Transfer,Banking,High,9.5
Pathetic service and shame for you guys. Have taken my money without giving any service. i didn't get any call yet. just messaging and mailing. why you guys are hiding ? what is your contact details ????,Zomato Food Delivery,Food & Beverage,High,9.0
This local grocery store is selling expired snacks. Health hazard! Ab toh consumer court jaunga. Cheaters!,Local Grocery Store Snacks,Retail,High,10.0
too much bad ..... because i have order a cake in the occasion of my sister's birthday but cake is totally damaged and no option for cancel or exchange order...too much bad app... don't use this app..bad bad bad,Zomato Food Delivery,Food & Beverage,Medium,7.0
"Ordered groceries from Blinkit, delivery guy left the bag outside and didn't even knock. Found it hours later, some items were melted. Careless!",Blinkit Groceries,Retail,Medium,6.0
"Delhi (DEL) - Kolkata (CCU) 6 Nov 14 6E219 - Was traveling with a small trolley bag (15"" diagonally) and a compact laptop bag (15"" diagonally). Total weight 11 kgs. Got the shock of my life when they said that they wouldn't allow more than 7 Kgs in cabin including laptop. Now I had a laptop and charger. Then I had a SLR Camera with lenses plus a change of clothes and some files. They asked me to pack all the fragile items into one bag and check-in the other. Imagine my situation. There was no way I could fit all the fragile items into one bag and weigh in at less than 7 kgs. I checked-in the bag and nothing was damaged. On to other aspects of the flight. The seats are cramped and the seat back is very thin. You feel the knees of the guy behind you! The food they sell is mediocre. If you want on time performance then probably this LCC is the best in India. But if you want customer friendly service comfortable seats good food or in-flight entertainment (none exists on Indigo aircraft's) or for that matter a reasonable cabin baggage policy then do look elsewhere.",IndiGo,Aviation,Low,3.0
"✅ Trip Verified |  With Tata having purchased Air India and Air India being a Star Alliance partner I thought what could go wrong. My new name for Air India is Air Never Again. The seats, service, cleanliness and ticketing were all terrible. We flew nine carriers on our month-long trip. None of them were close to being as bad as Air India. The discount air carriers Scoop and Batik put Air India to shame. The direct competitors Singapore, United and Cathay were so far superior that you'd have to drug me and tie to a seat to ever get me to set foot on Air India again. The plane was filthy. The seats torture devices left over from the Middle Ages. My in-seat entertainment system was broken but functional. I pointed it out so that it might be serviced on the ground and got a, ""no, one cares shrug"". The service was non-existent. The flight attendants made two appearances and then were nowhere to be found after meal and drink service. They just disappeared while leaving water in the open galley. The food was the worst of any airline food I've eaten or tried to eat. The beverage service was miserly. Nope. One and done. Loved India. Been there several times. Will go again just not on Air India.",AirIndia,Aviation,Medium,5.0
"✅ Trip Verified | Terrible experience, super old Aircraft, dirty everywhere, flight attendants tried their best to make sure that everyone was happy. Never flying with them again. In Delhi airport at boarding time representatives of Air India asked me to pay 800USD for a Duty Free bag, however post terminal doesn’t work and they tried to ask for cash. They said any cash amount. I didn’t pay and they allowed us to board last minute.",AirIndia,Aviation,High,9.0
"✅ Trip Verified | Bengaluru to Chennai. We were made to wait for half an hour in the baggage drop line. Line was short, staff were inefficient. Our e-boarding pass expired before our flight and we had to get a new one with different seats. We had to wait for the bus again for 10 minutes in the hot sun before we could board the flight. We took AirAsia from Chennai to Bangalore as well. Similar experience. Staff are inefficient (ground crew) and processes terrible. Not recommended at all.",AirAsia India,Aviation,Medium,6.5
Removing the option to see Customer feedback is unethical,Zomato Food Delivery,Food & Beverage,Low,2.0
"✅ Trip Verified |  At the time of writing this, the 6.40 am flight is yet to depart and the ETD is given as 15.00 hrs. Delhi has no bad weather, yet the reason given is bad weather. One of the worst airlines to travel. Beware of taking this airline.",SpiceJet,Aviation,High,9.5
such a worst app and such a worst support even though you pay for a gold membership you can't get a good support. no one cares about your issue they just want the money to be paid and they'll leave the issue unsolved. you have to chat with a senseless chat bot for hours and then after requesting the bot to connect to representative for 1000 times it will try to connect you to a support agent that's also useless because they won't solve your issue.,Zomato Food Delivery,Food & Beverage,Medium,5.5
"✅ Trip Verified |  Was supposed to fly from Bangalore to Kochi on 12th November 2019. As per the timing on the ticket which I booked in May was 9.35 AM. I reached the airport early at 6 AM. I proceeded to check in counter, and was shocked to find out that the the flight took of at around 5.20 AM. But in the ticket the time clearly shows 9.35 AM. If you had rescheduled the flight it's your (AirAsia) responsibility to inform the passenger or issue a ticket with the right Timing. Before booking I checked the timings with 2 travel agencies and on make my trip and all mentioned a flight at 9.35AM I never got a message not a phone call about any change in time.",AirAsia India,Aviation,High,9.0
I am having a salary account with AXIS bank for just 3 months back. There is no hidden charges in this bank. It is a  zero balance account. I am using mobile app and it is user friendly to access. I use this account only for transact the amount. Mostly do online transaction rather than ATM.,Axis Bank,Banking,Low,1.0
very unhygienic delivery sometimes and the delivery guys are so rude and food doesn't arrive hot ..VERY BAD EXPERIENCE,Zomato Food Delivery,Food & Beverage,High,7.5
"They have very ridiculous approach, neither we are able to eat that food due to late delivery nor we get the refund. You all made my total loss you will bear this. I will raise the case against agent Vikas and Mr. Deepinder Goyal in consumer court. I was mentally and financially harrassed on that day, we all were not able took proper sleep on that day.",Zomato Food Delivery,Food & Beverage,High,8.0
"✅ Trip Verified |  Delhi to Kochi. On May 31, I reached the airport at around 6:00 AM and checked in at the emergency counter. I had a friend also traveling with me whose luggage was less than 15 Kg. I asked the indigo staff if my excess luggage can be adjusted with him. Staff  told me to pay the extra amount. I immediately agreed to pay. Hence as per the baggage policy, I paid 400*10Kg -4000Rs. On arriving at Kochi airport after a 40-minute wait, I discovered that one of the luggage was lost and reported to the baggage claim representative. After waiting for more than 30 minutes, she cross-checked with the boarding pass and confirmed me that the bag of 10Kg is missing. I spoke to the indigo staff and have no information for me as to the whereabouts of my luggage. One of the senior officials of Indigo called me on June 9th and confirmed that the bag weight was 10Kg and a refund of 3500INR will be given. I expressed a complete dissatisfaction as I paid 4000Rs extra for the same bag. The staff promised me that he will check with the finance department and revert back. But I haven't received any call yet. I find it unprofessional how such a large airline like Indigo can lose luggage.  To add insult to injury, I am faced with obtaining compensation for those items that are far less than their worth.",IndiGo,Aviation,High,9.5
"i cant see reviews of restaurants on zomato anymore. ratings can be seen but not reviews. and the ""for you"" rating feature is unreliable. please remove it and make reviews visible. review are more reliable than ratings.",Zomato Food Delivery,Food & Beverage,Low,3.0
"My savings account interest rate is pathetic, while you keep advertising high rates. Misleading customers!",Bank of India Savings Account,Banking,Low,3.5
useless ghiya bekar sb word zomato ko hi dedicated h,Zomato Food Delivery,Food & Beverage,Medium,5.0
"✅ Trip Verified | If you are boarding a flight by SpiceJet, just know that they will delay by five hours. My flight, without blink of eye, was shifted from 4.30 to 8. And will there be another postponement? Who knows? The last time I travelled by SpiceJet in Oct 2022 from Calcutta to Delhi the flight which was supposed to leave at 9.45pm, left in the morning. They kept delaying all night, this flight was SG8252. This is BY FAR the worst airline I have ever been on and the experience is bad every single time. No respect for the passengers time at all. Horrifying.",SpiceJet,Aviation,High,8.5
"pathetic customer service experience, agents will just say sorry and disconnect the call and close the chat without any resolution @zomato u need to look into your support",Zomato Food Delivery,Food & Beverage,Medium,6.0
"✅ Trip Verified |  I booked a flight from Delhi to Maldives and back on GoFirst, both were direct flights. Few days prior they canceled return flight for no reason and offered only one option with a connection that would take us 18 hours instead of the original 4 hours. Tried to reach them thru call center but couldn't after waiting 45 mins, Their Chat Help is a useless bot their website is even worse, Tries for hours to cancel and get a refund but no luck. Anyways I just had to go ahead and book a different flight. Bad experience but it got even worse. The day before we were to take off for our vacation, they sent a SMS and canceled the inbound flight as well and offered us such a lousy long connection that we had to cancel that flight as well and book an Indigo instead. It took us a whole day to get a hold of someone who was not even sorry. It has now cut our 4 days vacation down to 2.5 days and we forcibly bought more expensive tickets with long connections with no help from them ... for no other reason than that we selected to go with an airline that prides itself on being ""Customer First. What a sham! Cheap stunt of an airline this is. They are your worst nightmare.",Go First,Aviation,High,9.5
They took forever to deliver the food,Zomato Food Delivery,Food & Beverage,Medium,5.0
EDIT Used for years but now won't back up and no response from reports 😡 Brilliant app... nice clear appearance. Love it that can match icons and make own categories. So useful to have to hand. Thank you xx,Mobile Application,Tech & Telecommunications,Medium,7.0
"Bought a fridge from Reliance Digital, delivery delayed by a week. Har din naya bahana. Seriously, this is unacceptable.",Reliance Digital Refrigerator,Retail,Medium,6.5
very poor delivery!!!!!...it takes double time,Zomato Food Delivery,Food & Beverage,Medium,5.5
"Personal loan lene gaya, agents ne itna misguide kiya. Bola 10% interest rate hai, ab pata chala 15% hai. Pure fraudsters hain!",Axis Bank Personal Loan,Banking,High,9.0
Too late. The worst,Zomato Food Delivery,Food & Beverage,Medium,5.0
✅ Trip Verified |  Kochi to Delhi. The Airline cancel our flight on 10th April and they don't give us our refund for tickets booked through BudgetAir. We need the refund because we are from Spain and we couldn't travel.,Vistara,Aviation,High,9.0
To much price difference from restorent v/s zomato price. while zomato charge extra platform fee and GST and packing charge,Zomato Food Delivery,Food & Beverage,Low,4.0
"Not Verified |  We 3 people (2 adults and 1 child) were travelling from London to Kochi via Delhi. We missed the flight 4am) from Delhi to Kochi because of our child was continuously vomiting and it was early morning 4am flight. But we reached airport little late (4:10am) they failed to arrange alternate flight for us and they told us to book new seats. They said you will get email after some time, as PNR is generated no issue. We trusted them and returned back to hotel. We didn't receive the email at all and we contacted the costumer service they also said its okay just go to airport and get the boarding pass. We went to airport little early (2am) with all our luggage, and child. When we arrived they said that in your name no seats book and all seats are full we cannot help you. We showed PNR number, they said but as you didn't get email we cant do anything. We went to manager of the Air India, she didn't show any interest in helping or solving the issue. We checked with other airlines. They had 2 seats, one seat like that so we had to book new tickets again with Vistara next day morning (3am) and we returned back to hotel again with all our bags (25kg bags, hand luggage) and child. Horrible service by Air India. Horrible staff members and irresponsible, non cooperative. They were all laughing making fun of each other and customers, no seriousness and no helping nature. It all happened in Delhi international airport. As we were confused and standing what to do, we were just observing them, they are so careless even for old people who are approaching them and they don't know the language Hindi or English. They are very careless they are not there for helping others they are not serious about their job.",AirIndia,Aviation,High,9.5
✅ Trip Verified | Had one of the worst experiences with IndiGo during a very critical moment. We had booked our flight 3 months ago. Our flight was from Trivandrum to Patna via Bengaluru. While we wer in Thiruvananthapuram we got a phone call from IndiGo 2 days prior to our departure saying that one my flights has been canceled and other one rescheduled. I was suppose to leave Trivandrum at 8:00 am and reach Patna by 3:00pm afternoon and we had to travel all the way to Nepal in order to attend a meeting on the very next day. IndiGo screwed us very bad and said they will provide us with a different flight but both on separate days. Now I am here in Trivandrum airport one day earlier to my actual departure and waiting for my flight which has been delayed once again. Now I will reach Bengaluru at midnight where I have to stay for 12 hours waiting for my next flight. Now my time and money are completely wasted. Staying over night in Bengaluru costs minimum ₹5000 and on top I'm stuck here wasting my time when I had to attend a party. This will be last and final flight that I will book with IndiGo.,IndiGo,Aviation,High,9.0
"After raising a complaint, there was no proper response from Zomato. It seems neither the restaurant nor Zomato wants to take responsibility. Please be cautious your health is clearly not their priority. I would strongly advise not ordering from this restaurant (or through Zomato, if such negligence continues)",Zomato Food Delivery,Food & Beverage,High,7.5
it's a worst food app I have seen ever in my life...,Zomato Food Delivery,Food & Beverage,Low,3.0
"✅ Trip Verified |  I wasn't happy at all. I am a foreigner and I booked the flight at least two months in advance. In these 2 months I received several unsolicited emails for buying extra services (like many airlines do). To days before my flight, when I was in India, I received an email informing that it was time to proceed with web check-in. I did so, but my web check-in failed with with message saying that I was I the ""watch queue"". I contacted the help desk, which was not very quick, but in the meanwhile I browsed the internet and found out that, since I booked my flight with an international credit card I needed to show the credit card at the check-in. Luckily enough, I brought the credit card with me (it was about to expire, and I have more than one credit card, so I really thought I could leave it at home) otherwise they would have denied boarding.  I have no idea why they needed to check my credit card (they didn't explain), and no idea why they didn't send me any email telling me that I needed to show my credit card. Apart for that,  it is a low cost, and it is worth what it costs.",IndiGo,Aviation,Medium,7.0
"✅ Trip Verified |  Ahmedabad to Nagpur. No time management skills. they changed the gate number at the end moment no announcements were made. We were asked to stay in line for almost 1 to 1.5 hours. The flight was not on time. Will not travel on this flight again, worst experience ever.",IndiGo,Aviation,Medium,6.0
"✅ Trip Verified | It was my worst flight, will never travel Air India again. I'm 6 months pregnant, when I asked the cabin crew for a seat change as it was very uncomfortable for me to sit in that position for a long time they refused and didn't even bother to help my situation even though there were many seats available with wide leg spaces. Still they said no seat was available. It was very disappointing that they didn't help me as my back was hurting badly and I was feeling suffocated.",AirIndia,Aviation,High,8.5
They are very robust on the cancellation policy. I pick the wrong address for delivery but thanks to Deepinder Goyal and Mr Chaddha for scamming/ Lootofying the customer. They wasted my time on customer support which leads to no turn back. Zero supprt and very pathetic service from Zomato.. I'll recommend to book directly from neae by restuarant you can actually save money on Delivery charges and the shares which he collect from Customer and restaurant. Download Eat sure or swiggy.,Zomato Food Delivery,Food & Beverage,Medium,6.5
Thank you for the best zomato gold membership which always gives me late and cold delivery. My last 3 orders were 30 minutes delivery time alone from the restaurant which is possible in 10 minutes. Now I won't order from your app. Again thank you for your absurdity and customer fooling strategies.,Zomato Food Delivery,Food & Beverage,Medium,7.0
"✅ Trip Verified |  Flight cancelled just 5 days before the journey. I received my flight cancel message just 5 days before. Flight change option is not good. Again I need to pay extra on flight change, which is not fair. Airlines are cheating common man on sudden cancellation & asking them to pay extra by flight change option",Go First,Aviation,High,8.0
"High price,😡😡",Zomato Food Delivery,Food & Beverage,Low,2.0
delayed delivery compared to swiggy . one of the worst app to order food.🤮🤮🤮🤮,Zomato Food Delivery,Food & Beverage,Medium,6.0
Wrong interest calculation on my Recurring Deposit. Loot rahe ho public ko!,Indian Bank RD,Banking,High,9.0
UPI transaction stuck ho gaya 12 ghante se. Na merchant ko mila na mujhe wapas aaya. Worst service!,IDFC First Bank UPI,Banking,High,9.5
"Expected delivery for my groceries from BigBasket was yesterday, still no sign. My fridge is empty!",BigBasket Groceries,Retail,Medium,7.0
"Vodafone Idea call drops are insane. It's like calling from a jungle. Useless network, paise barbaad!",Vodafone Idea Mobile,Tech & Telecommunications,Medium,6.5
"Bought an inverter from a local electronics shop, it stopped working in a month. Shopkeeper is refusing to replace. Chuna laga diya.",Local Electronics Shop Inverter,Retail,High,8.5
"very pathetic service ..zomato is a fraud service company... I urge every indian if you are really a person of this country never order anything from zomato, gp for zomato",Zomato Food Delivery,Food & Beverage,Medium,7.0
"Bought a Noise smartwatch, it's not tracking steps or heart rate accurately. This is totally misleading. Refund my cash!",Noise Smartwatch,Tech & Telecommunications,Medium,7.5
"✅ Trip Verified |  It's pathetic to pay extra amount for the free seats after already paying the huge amount for tickets. Just because we are doing web checkin before 2 hours, we were asked to pay extra amount as free seats were over. We did not face this kind of problem with any other airline. Why should we pay extra if we do not have any seat preference? It's their duty to provide seats to us.",Go First,Aviation,Medium,7.0
this app is worse now a days... constant 3 orders they have denied despite of me sharing pictures and videos of a poor quality food recived from restaurants.,Zomato Food Delivery,Food & Beverage,High,8.5
✅ Trip Verified |  Bengaluru to Mumbai. I  booked AirAsia India flight for 18th Dec 2019. I wanted to reschedule it. When I called airline to ask for cancellation first they told they can not reschedule it.  They are taking 2000 rs penalty charge for rescheduling. This is an unreasonable demand.,AirAsia India,Aviation,Medium,6.0
"✅ Trip Verified |  Flew in indigo from Dubai to Chennai. Flight departed after 1 and half hours from the scheduled time. Beverage - Paid for alcoholic beverage while booking the ticket and ended up getting paper boat pomegranate juice. Food, ordered chicken curry rice, but for the first time in my life had to eat poor rice.",IndiGo,Aviation,Medium,6.5
order from swiggy instead,Zomato Food Delivery,Food & Beverage,Low,2.0
"Zomato’s service is absolutely pathetic. They keep adding random charges for no reason, and they don’t give a damn about the food quality or delivery. Whenever there’s an issue, they just pass the blame to the restaurant or the delivery partner instead of taking responsibility.",Zomato Food Delivery,Food & Beverage,Medium,7.0
